Model,Performance Rank,Mean τ,Std τ,Rank Difference
O3,1,0.46666666666666656,0.20367003088692617,5
Gemini,2,0.45185185185185184,0.16024672335395504,3
Claude-5,3,0.002469135802469133,0.2554213281417284,1
Claude-7,4,0.05185185185185184,0.11758894715842624,1
O4-mini,5,0.3975308641975308,0.21094860542071323,3
Llama-4,6,-0.02716049382716049,0.3246608444564611,5
